cluster_id,accident_count,center_latitude,center_longitude,deaths,injuries,avg_severity,predominant_hour,predominant_day,predominant_cause,radius_km,density_score,risk_category,heat_intensity
290,23,-28.415657554347828,-54.97987227130435,1,30,8.91304347826087,17,1,Acessar a via sem observar a presença dos outros veículos,5.642275639366473,0.7004662037053829,baixo,0.4102150547904765
291,49,-19.51506632734694,-40.66494522632653,0,70,10.608843537414966,7,5,Reação tardia ou ineficiente do condutor,12.68574206031836,0.30260352983624994,baixo,0.1772141509682017
292,13,-15.299501196153845,-56.438530690769234,1,17,8.102564102564102,18,3,Manobra de mudança de faixa,5.35411532341425,0.4382039572240629,baixo,0.25662602902349163
293,14,-14.571292918571428,-39.335396225000004,2,15,11.8001443001443,23,2,Velocidade Incompatível,7.530661468991391,0.2425886475418096,baixo,0.14206754703723942
294,45,-26.252585737777775,-53.61612427688889,3,49,11.933333333333334,19,5,Acessar a via sem observar a presença dos outros veículos,12.575162577236036,0.28277928123298635,baixo,0.16560444705393804
295,12,-11.372006048333333,-40.0096958125,0,15,10.972222222222221,19,5,Ausência de reação do condutor,4.6684637727324505,0.5264415351760484,baixo,0.308300731789561
296,72,-10.70834617975,-37.41153260495833,5,80,11.5625,7,5,Ausência de reação do condutor,14.43200450416901,0.3440321699757724,baixo,0.20147606652505434
297,24,-23.031203154583334,-50.07488974583333,4,36,9.024305555555555,15,5,Reação tardia ou ineficiente do condutor,11.633996783883386,0.17601775516425314,baixo,0.10308153726310308
298,25,-9.420658723999999,-38.1819493,5,33,17.472380952380952,19,0,Ausência de reação do condutor,8.021459685822078,0.3825916777593201,baixo,0.22405772787352218
299,10,-13.362388608,-44.644996672000005,1,18,11.583333333333332,14,5,Reação tardia ou ineficiente do condutor,4.8600506231260505,0.4061723236409726,baixo,0.23786729625978714
300,38,-3.7172088999999997,-40.344718611842104,3,52,13.163533834586467,18,6,Ausência de reação do condutor,8.039668898982313,0.5789481413746373,baixo,0.3390502529294495
301,13,-24.54891191923077,-52.99115002692308,1,20,9.227106227106226,18,3,Reação tardia ou ineficiente do condutor,5.758960805232469,0.38049935472766533,baixo,0.2228323976541207
302,13,-23.045906546153844,-50.23151614846154,0,14,7.948717948717948,7,1,Acessar a via sem observar a presença dos outros veículos,4.0187839843596675,0.7579898818605274,baixo,0.4439027311713448
303,19,-4.283847810526316,-41.76543586526316,0,25,10.87719298245614,19,2,Ausência de reação do condutor,6.369088164237159,0.457112237702181,baixo,0.2676993131752382
304,12,-16.8617564975,-44.005730768333336,7,70,20.374389499389498,19,2,Velocidade Incompatível,6.900664683021483,0.24681620938595378,medio,0.14454334030799534
305,50,-12.1353466624,-38.3965714096,3,52,11.303333333333333,9,6,Acessar a via sem observar a presença dos outros veículos,12.967461874440323,0.2955867698750841,baixo,0.1731049154951768
306,28,-7.5155144017857145,-46.05496770607142,2,25,11.666666666666668,15,0,Acessar a via sem observar a presença dos outros veículos,7.503872212938314,0.48858714361961497,baixo,0.28613200869594296
307,17,-27.313304520588236,-50.55998894882353,6,23,17.274509803921568,13,4,Acessar a via sem observar a presença dos outros veículos,7.232972556301351,0.3188542733174851,baixo,0.18673109781342698
308,30,-24.58267690066667,-53.993724879666665,0,23,6.138888888888888,1,3,Reação tardia ou ineficiente do condutor,11.319281657023055,0.2323309644609536,baixo,0.1360603249831594
309,93,-22.238184159569894,-54.75693985666666,5,91,10.491295442908346,6,6,Ausência de reação do condutor,17.731454121103788,0.29485949073877715,baixo,0.17267899794316652
310,14,-4.710662536428572,-56.010756674999996,0,14,8.333333333333332,5,4,Reação tardia ou ineficiente do condutor,5.932060811889351,0.38685419191409665,baixo,0.22655399031744483
311,39,-9.214364385384616,-36.004275466410256,6,50,17.844932844932845,18,0,Animais na Pista,13.708789883012177,0.20642465504492918,baixo,0.12088877483513356
312,24,-28.302696335416666,-52.760235764583335,4,35,12.061838624338625,22,6,Acessar a via sem observar a presença dos outros veículos,7.778269178821201,0.39023456588223665,baixo,0.22853364370431417
313,49,-15.691123235510204,-48.17682423795919,10,45,13.39625850340136,7,5,Acessar a via sem observar a presença dos outros veículos,12.83138743653864,0.29581422233081467,baixo,0.17323811881190523
314,14,-14.730805516428571,-56.32899086,2,10,8.928571428571429,6,5,Acessar a via sem observar a presença dos outros veículos,5.965502386948996,0.3826472873987618,baixo,0.22409029462859156
315,28,-27.726911323214285,-49.3399275725,2,46,11.09481292517007,18,2,Velocidade Incompatível,10.577033855078593,0.24806499300578208,baixo,0.14527466729896146
316,14,-14.466808987857144,-46.48289542428571,4,12,14.098639455782314,8,6,Ausência de reação do condutor,5.653577979865477,0.42471934578611675,baixo,0.24872901616179477
317,16,-11.946276095,-38.977441341875,2,16,13.90625,19,2,Ausência de reação do condutor,8.137683395857222,0.23801770152242574,baixo,0.13939065718607035
318,21,-15.818150070952381,-55.38974763428572,3,23,13.571428571428571,10,1,Reação tardia ou ineficiente do condutor,9.407043298391974,0.23465663086090413,baixo,0.13742230842309328
319,29,-20.93571217448276,-54.95737636724138,1,32,9.683908045977011,17,2,Acessar a via sem observar a presença dos outros veículos,7.576888316895875,0.49649681633618176,baixo,0.2907641619813367
320,17,-6.882044545882353,-36.91668919823529,0,19,6.785714285714286,18,0,Acessar a via sem observar a presença dos outros veículos,7.575242011468822,0.2911742106280181,baixo,0.17052078192281284
